SerialNo,Date,DEP_STN_CD,ARR_STN_CD,OverallSat,CheckIn,Lounge,Depart,CabinEnv,IFE,FoodDrink
SN00000342840,2010-03,LHR,BCN,2,1,9,2,3,9,3
SN00000342864,2010-03,LHR,BCN,3,2,2,3,4,9,4
SN00000342866,2010-03,LHR,BCN,1,1,9,2,2,9,8
SN00000342867,2010-03,LHR,BCN,3,8,9,3,3,9,7
SN00000342868,2010-03,LHR,BCN,3,1,9,2,3,9,2
SN00000342871,2010-03,LHR,BCN,2,2,9,3,4,9,5
SN00000342878,2010-03,LHR,BCN,2,2,9,2,3,9,5
SN00000342676,2010-03,LHR,BCN,3,8,9,2,3,9,2
SN00000342679,2010-03,LHR,BCN,4,4,9,6,4,9,4
SN00000342699,2010-03,LHR,BCN,2,3,9,3,4,9,3
SN00000342700,2010-03,LHR,BCN,2,8,9,3,4,9,4
SN00000342706,2010-03,LHR,BCN,3,8,9,2,2,9,8
SN00000342714,2010-03,LHR,BCN,4,3,9,4,4,9,6
SN00000342720,2010-03,LHR,BCN,3,8,9,2,2,9,4
SN00000342721,2010-03,LHR,BCN,1,1,9,1,2,9,2
SN00000342725,2010-03,LHR,BCN,3,3,9,4,3,9,3
SN00000342733,2010-03,LHR,BCN,2,2,8,2,2,9,4
SN00000342739,2010-03,LHR,BCN,4,3,9,3,3,9,5
SN00000342751,2010-03,LHR,BCN,5,3,7,4,5,9,8
SN00000342766,2010-03,LHR,BCN,2,1,9,3,3,9,4
SN00000342768,2010-03,LHR,BCN,7,2,9,2,3,9,3
SN00000342773,2010-03,LHR,BCN,6,2,9,4,4,9,4
SN00000342774,2010-03,LHR,BCN,2,8,1,2,2,9,3
SN00000342779,2010-03,LHR,BCN,2,2,9,2,2,9,3
SN00000342786,2010-03,LHR,BCN,2,2,9,2,2,9,3
SN00000342787,2010-03,LHR,BCN,4,4,9,5,4,9,7
SN00000342799,2010-03,LHR,BCN,1,2,9,2,3,9,3
SN00000342891,2010-03,LHR,BCN,3,3,9,2,3,9,6
SN00000342893,2010-03,LHR,BCN,3,2,9,2,2,9,3
SN00000342710,2010-03,LHR,BCN,2,2,9,2,2,9,5
SN00000342718,2010-03,LHR,BCN,2,2,9,3,3,9,3
SN00000342734,2010-03,LHR,BCN,4,1,9,3,2,9,6
SN00000342735,2010-03,LHR,BCN,3,2,9,2,3,9,3
SN00000342736,2010-03,LHR,BCN,2,2,9,2,2,9,3
SN00000342743,2010-03,LHR,BCN,2,1,9,2,2,9,3
SN00000342753,2010-03,LHR,BCN,4,6,9,3,4,9,3
SN00000342757,2010-03,LHR,BCN,4,5,8,4,3,9,2
SN00000342827,2010-03,LHR,BCN,2,2,9,2,2,9,3
SN00000342672,2010-03,LHR,BCN,1,1,2,1,1,9,4
SN00000342674,2010-03,LHR,BCN,4,2,9,2,3,9,4
SN00000342675,2010-03,LHR,BCN,2,1,9,1,2,9,3
SN00000342684,2010-03,LHR,BCN,4,5,9,6,4,9,7
SN00000342692,2010-03,LHR,BCN,3,4,9,4,4,9,4
SN00000342696,2010-03,LHR,BCN,3,2,9,2,3,9,5
SN00000342713,2010-03,LHR,BCN,2,2,9,3,2,9,4
SN00000342729,2010-03,LHR,BCN,3,2,9,3,3,9,4
SN00000342732,2010-03,LHR,BCN,4,3,9,3,5,9,4
SN00000342737,2010-03,LHR,BCN,2,2,9,3,2,9,3
SN00000342747,2010-03,LHR,BCN,6,3,9,4,5,9,3
SN00000342750,2010-03,LHR,BCN,2,3,9,2,2,9,3
SN00000342762,2010-03,LHR,BCN,3,3,9,4,2,9,6
SN00000342772,2010-03,LHR,BCN,2,8,9,3,3,9,8
SN00000342776,2010-03,LHR,BCN,3,2,9,4,3,9,4
SN00000342796,2010-03,LHR,BCN,3,8,9,3,4,9,4
SN00000342808,2010-03,LHR,BCN,5,2,9,3,2,9,5
SN00000342809,2010-03,LHR,BCN,2,1,9,2,2,9,3
SN00000342825,2010-03,LHR,BCN,2,2,2,2,3,9,4
SN00000342829,2010-03,LHR,BCN,2,2,9,4,2,9,8
SN00000342855,2010-03,LHR,BCN,1,2,1,3,3,9,4
SN00000342872,2010-03,LHR,BCN,6,2,9,4,5,9,5
SN00000342887,2010-03,LHR,BCN,6,6,9,4,5,9,7
SN00000342888,2010-03,LHR,BCN,3,2,9,2,2,9,4
SN00000342889,2010-03,LHR,BCN,1,1,9,1,2,9,2
SN00000342890,2010-03,LHR,BCN,1,2,9,2,2,9,2
SN00000342892,2010-03,LHR,BCN,3,8,9,3,6,9,5
SN00000342671,2010-03,LHR,BCN,3,2,9,3,2,9,3
SN00000342673,2010-03,LHR,BCN,2,2,9,3,2,9,3
SN00000342716,2010-03,LHR,BCN,2,2,9,3,5,9,5
SN00000342726,2010-03,LHR,BCN,2,2,2,4,3,9,4
SN00000342730,2010-03,LHR,BCN,5,8,9,4,5,9,4
SN00000342833,2010-03,LHR,BCN,1,2,9,2,2,9,5
SN00000342834,2010-03,LHR,BCN,4,3,9,3,3,9,5
SN00000342836,2010-03,LHR,BCN,1,1,4,2,2,9,5
SN00000342841,2010-03,LHR,BCN,2,2,9,2,2,9,3
SN00000342848,2010-03,LHR,BCN,2,2,9,3,2,9,2
SN00000342849,2010-03,LHR,BCN,4,2,9,3,3,9,5
SN00000342851,2010-03,LHR,BCN,1,4,9,3,3,9,1
SN00000342853,2010-03,LHR,BCN,4,2,9,3,3,9,6
SN00000342857,2010-03,LHR,BCN,2,2,9,3,2,9,2
SN00000342858,2010-03,LHR,BCN,5,3,9,4,5,9,3
SN00000342859,2010-03,LHR,BCN,4,3,9,3,2,9,4
SN00000342869,2010-03,LHR,BCN,2,2,2,3,2,9,4
SN00000342870,2010-03,LHR,BCN,6,8,9,4,5,9,8
